Driver,FastestLap,RaceID,year,EventName
GAS,0 days 00:01:34.090000,1,2021,Bahrain
PER,0 days 00:01:33.970000,1,2021,Bahrain
ALO,0 days 00:01:36.063000,1,2021,Bahrain
LEC,0 days 00:01:34.988000,1,2021,Bahrain
STR,0 days 00:01:34.865000,1,2021,Bahrain
TSU,0 days 00:01:34.761000,1,2021,Bahrain
RIC,0 days 00:01:34.932000,1,2021,Bahrain
OCO,0 days 00:01:35.250000,1,2021,Bahrain
VER,0 days 00:01:33.228000,1,2021,Bahrain
NOR,0 days 00:01:34.396000,1,2021,Bahrain
HAM,0 days 00:01:34.015000,1,2021,Bahrain
MSC,0 days 00:01:36.134000,1,2021,Bahrain
VET,0 days 00:01:35.566000,1,2021,Bahrain
SAI,0 days 00:01:34.509000,1,2021,Bahrain
LAT,0 days 00:01:36.602000,1,2021,Bahrain
RUS,0 days 00:01:35.036000,1,2021,Bahrain
RAI,0 days 00:01:35.192000,1,2021,Bahrain
BOT,0 days 00:01:32.090000,1,2021,Bahrain
MAZ,,1,2021,Bahrain
GIO,0 days 00:01:35.122000,1,2021,Bahrain
GAS,0 days 00:01:18.782000,2,2021,Emilia Romagna
PER,0 days 00:01:18.334000,2,2021,Emilia Romagna
ALO,0 days 00:01:19.396000,2,2021,Emilia Romagna
LEC,0 days 00:01:18.379000,2,2021,Emilia Romagna
STR,0 days 00:01:18.994000,2,2021,Emilia Romagna
TSU,0 days 00:01:18.353000,2,2021,Emilia Romagna
RIC,0 days 00:01:19.341000,2,2021,Emilia Romagna
OCO,0 days 00:01:19.417000,2,2021,Emilia Romagna
VER,0 days 00:01:17.524000,2,2021,Emilia Romagna
NOR,0 days 00:01:18.259000,2,2021,Emilia Romagna
HAM,0 days 00:01:16.702000,2,2021,Emilia Romagna
MSC,0 days 00:01:19.193000,2,2021,Emilia Romagna
VET,0 days 00:01:19.074000,2,2021,Emilia Romagna
SAI,0 days 00:01:18.490000,2,2021,Emilia Romagna
LAT,,2,2021,Emilia Romagna
RUS,0 days 00:01:26.543000,2,2021,Emilia Romagna
RAI,0 days 00:01:19.422000,2,2021,Emilia Romagna
BOT,0 days 00:01:28.485000,2,2021,Emilia Romagna
MAZ,0 days 00:01:20.402000,2,2021,Emilia Romagna
GIO,0 days 00:01:19.470000,2,2021,Emilia Romagna
GAS,0 days 00:01:22.014000,3,2021,Portuguese
PER,0 days 00:01:20.643000,3,2021,Portuguese
ALO,0 days 00:01:21.032000,3,2021,Portuguese
LEC,0 days 00:01:21.496000,3,2021,Portuguese
STR,0 days 00:01:21.970000,3,2021,Portuguese
TSU,0 days 00:01:22.058000,3,2021,Portuguese
RIC,0 days 00:01:21.987000,3,2021,Portuguese
OCO,0 days 00:01:21.886000,3,2021,Portuguese
VER,0 days 00:01:20.695000,3,2021,Portuguese
NOR,0 days 00:01:21.696000,3,2021,Portuguese
HAM,0 days 00:01:20.933000,3,2021,Portuguese
MSC,0 days 00:01:22.755000,3,2021,Portuguese
VET,0 days 00:01:22.416000,3,2021,Portuguese
SAI,0 days 00:01:22.325000,3,2021,Portuguese
LAT,0 days 00:01:23.155000,3,2021,Portuguese
RUS,0 days 00:01:22.654000,3,2021,Portuguese
RAI,,3,2021,Portuguese
BOT,0 days 00:01:19.865000,3,2021,Portuguese
MAZ,0 days 00:01:23.641000,3,2021,Portuguese
GIO,0 days 00:01:22.167000,3,2021,Portuguese
GAS,0 days 00:01:21.375000,4,2021,Spanish
PER,0 days 00:01:19.483000,4,2021,Spanish
ALO,0 days 00:01:21.182000,4,2021,Spanish
LEC,0 days 00:01:20.459000,4,2021,Spanish
STR,0 days 00:01:22.607000,4,2021,Spanish
TSU,0 days 00:01:24.825000,4,2021,Spanish
RIC,0 days 00:01:21.853000,4,2021,Spanish
OCO,0 days 00:01:23.311000,4,2021,Spanish
VER,0 days 00:01:18.149000,4,2021,Spanish
NOR,0 days 00:01:21.279000,4,2021,Spanish
HAM,0 days 00:01:20.665000,4,2021,Spanish
MSC,0 days 00:01:22.637000,4,2021,Spanish
VET,0 days 00:01:22.820000,4,2021,Spanish
SAI,0 days 00:01:21.568000,4,2021,Spanish
LAT,0 days 00:01:22.905000,4,2021,Spanish
RUS,0 days 00:01:23.208000,4,2021,Spanish
RAI,0 days 00:01:22.868000,4,2021,Spanish
BOT,0 days 00:01:19.430000,4,2021,Spanish
MAZ,0 days 00:01:24.040000,4,2021,Spanish
GIO,0 days 00:01:22.802000,4,2021,Spanish
VER,0 days 00:01:14.649000,5,2021,Monaco
SAI,0 days 00:01:14.621000,5,2021,Monaco
NOR,0 days 00:01:14.670000,5,2021,Monaco
PER,0 days 00:01:14.552000,5,2021,Monaco
VET,0 days 00:01:15.316000,5,2021,Monaco
GAS,0 days 00:01:15.412000,5,2021,Monaco
HAM,0 days 00:01:12.909000,5,2021,Monaco
STR,0 days 00:01:14.674000,5,2021,Monaco
OCO,0 days 00:01:15.316000,5,2021,Monaco
GIO,0 days 00:01:15.331000,5,2021,Monaco
RAI,0 days 00:01:14.971000,5,2021,Monaco
RIC,0 days 00:01:14.578000,5,2021,Monaco
ALO,0 days 00:01:15.026000,5,2021,Monaco
RUS,0 days 00:01:15.539000,5,2021,Monaco
LAT,0 days 00:01:15.573000,5,2021,Monaco
TSU,0 days 00:01:14.037000,5,2021,Monaco
MAZ,0 days 00:01:16.866000,5,2021,Monaco
MSC,0 days 00:01:16.425000,5,2021,Monaco
BOT,0 days 00:01:15.706000,5,2021,Monaco
LEC,,5,2021,Monaco
GAS,0 days 00:01:45.220000,6,2021,Azerbaijan
PER,0 days 00:01:44.687000,6,2021,Azerbaijan
ALO,0 days 00:01:45.624000,6,2021,Azerbaijan
LEC,0 days 00:01:45.382000,6,2021,Azerbaijan
STR,0 days 00:01:46.207000,6,2021,Azerbaijan
TSU,0 days 00:01:44.939000,6,2021,Azerbaijan
RIC,0 days 00:01:45.713000,6,2021,Azerbaijan
OCO,0 days 00:01:50.850000,6,2021,Azerbaijan
VER,0 days 00:01:44.481000,6,2021,Azerbaijan
NOR,0 days 00:01:45.326000,6,2021,Azerbaijan
HAM,0 days 00:01:44.769000,6,2021,Azerbaijan
MSC,0 days 00:01:47.624000,6,2021,Azerbaijan
VET,0 days 00:01:44.890000,6,2021,Azerbaijan
SAI,0 days 00:01:45.700000,6,2021,Azerbaijan
LAT,0 days 00:01:46.608000,6,2021,Azerbaijan
RUS,0 days 00:01:45.959000,6,2021,Azerbaijan
RAI,0 days 00:01:45.601000,6,2021,Azerbaijan
BOT,0 days 00:01:45.665000,6,2021,Azerbaijan
MAZ,0 days 00:01:47.747000,6,2021,Azerbaijan
GIO,0 days 00:01:45.575000,6,2021,Azerbaijan
VER,0 days 00:01:36.404000,7,2021,French
HAM,0 days 00:01:37.410000,7,2021,French
PER,0 days 00:01:36.693000,7,2021,French
BOT,0 days 00:01:36.960000,7,2021,French
NOR,0 days 00:01:37.425000,7,2021,French
RIC,0 days 00:01:38.324000,7,2021,French
GAS,0 days 00:01:38.103000,7,2021,French
ALO,0 days 00:01:37.646000,7,2021,French
VET,0 days 00:01:37.138000,7,2021,French
STR,0 days 00:01:37.828000,7,2021,French
SAI,0 days 00:01:38.931000,7,2021,French
RUS,0 days 00:01:38.314000,7,2021,French
TSU,0 days 00:01:38.980000,7,2021,French
OCO,0 days 00:01:38.645000,7,2021,French
GIO,0 days 00:01:38.702000,7,2021,French
LEC,0 days 00:01:37.681000,7,2021,French
RAI,0 days 00:01:37.992000,7,2021,French
LAT,0 days 00:01:38.313000,7,2021,French
MSC,0 days 00:01:38.847000,7,2021,French
MAZ,0 days 00:01:39.317000,7,2021,French
VER,0 days 00:01:08.017000,8,2021,Styrian
HAM,0 days 00:01:07.058000,8,2021,Styrian
BOT,0 days 00:01:08.619000,8,2021,Styrian
PER,0 days 00:01:07.894000,8,2021,Styrian
NOR,0 days 00:01:08.903000,8,2021,Styrian
SAI,0 days 00:01:08.609000,8,2021,Styrian
LEC,0 days 00:01:08.738000,8,2021,Styrian
STR,0 days 00:01:09.787000,8,2021,Styrian
ALO,0 days 00:01:09.749000,8,2021,Styrian
TSU,0 days 00:01:09.650000,8,2021,Styrian
RAI,0 days 00:01:09.128000,8,2021,Styrian
VET,0 days 00:01:09.821000,8,2021,Styrian
RIC,0 days 00:01:09.305000,8,2021,Styrian
OCO,0 days 00:01:09.576000,8,2021,Styrian
GIO,0 days 00:01:09.723000,8,2021,Styrian
MSC,0 days 00:01:10.005000,8,2021,Styrian
LAT,0 days 00:01:10.104000,8,2021,Styrian
MAZ,0 days 00:01:10.951000,8,2021,Styrian
RUS,0 days 00:01:10.499000,8,2021,Styrian
GAS,,8,2021,Styrian
VER,0 days 00:01:06.200000,9,2021,Austrian
BOT,0 days 00:01:08.374000,9,2021,Austrian
NOR,0 days 00:01:08.471000,9,2021,Austrian
HAM,0 days 00:01:08.126000,9,2021,Austrian
SAI,0 days 00:01:07.762000,9,2021,Austrian
PER,0 days 00:01:08.192000,9,2021,Austrian
RIC,0 days 00:01:08.820000,9,2021,Austrian
LEC,0 days 00:01:08.698000,9,2021,Austrian
GAS,0 days 00:01:08.146000,9,2021,Austrian
ALO,0 days 00:01:08.405000,9,2021,Austrian
RUS,0 days 00:01:08.900000,9,2021,Austrian
TSU,0 days 00:01:08.455000,9,2021,Austrian
STR,0 days 00:01:08.659000,9,2021,Austrian
GIO,0 days 00:01:09.042000,9,2021,Austrian
RAI,0 days 00:01:08.520000,9,2021,Austrian
LAT,0 days 00:01:08.874000,9,2021,Austrian
VET,0 days 00:01:08.420000,9,2021,Austrian
MSC,0 days 00:01:09.394000,9,2021,Austrian
MAZ,0 days 00:01:09.757000,9,2021,Austrian
OCO,,9,2021,Austrian
HAM,0 days 00:01:29.699000,10,2021,British
LEC,0 days 00:01:30.569000,10,2021,British
BOT,0 days 00:01:30.524000,10,2021,British
NOR,0 days 00:01:31.420000,10,2021,British
RIC,0 days 00:01:31.284000,10,2021,British
SAI,0 days 00:01:31.223000,10,2021,British
ALO,0 days 00:01:31.698000,10,2021,British
STR,0 days 00:01:31.992000,10,2021,British
OCO,0 days 00:01:32.210000,10,2021,British
TSU,0 days 00:01:30.826000,10,2021,British
GAS,0 days 00:01:30.266000,10,2021,British
RUS,0 days 00:01:32.049000,10,2021,British
GIO,0 days 00:01:32.346000,10,2021,British
LAT,0 days 00:01:32.477000,10,2021,British
RAI,0 days 00:01:31.895000,10,2021,British
PER,0 days 00:01:28.617000,10,2021,British
MAZ,0 days 00:01:32.909000,10,2021,British
MSC,0 days 00:01:32.862000,10,2021,British
VET,0 days 00:01:33.059000,10,2021,British
VER,,10,2021,British
OCO,0 days 00:01:21.421000,11,2021,Hungarian
HAM,0 days 00:01:18.715000,11,2021,Hungarian
SAI,0 days 00:01:21.423000,11,2021,Hungarian
ALO,0 days 00:01:20.359000,11,2021,Hungarian
GAS,0 days 00:01:18.394000,11,2021,Hungarian
TSU,0 days 00:01:22.450000,11,2021,Hungarian
LAT,0 days 00:01:22.831000,11,2021,Hungarian
RUS,0 days 00:01:22.112000,11,2021,Hungarian
VER,0 days 00:01:20.945000,11,2021,Hungarian
RAI,0 days 00:01:21.518000,11,2021,Hungarian
RIC,0 days 00:01:22.802000,11,2021,Hungarian
MSC,0 days 00:01:22.711000,11,2021,Hungarian
GIO,0 days 00:01:22.736000,11,2021,Hungarian
MAZ,,11,2021,Hungarian
NOR,,11,2021,Hungarian
BOT,,11,2021,Hungarian
PER,,11,2021,Hungarian
LEC,,11,2021,Hungarian
STR,,11,2021,Hungarian
VET,0 days 00:01:21.459000,11,2021,Hungarian
VER,,12,2021,Belgian
RUS,,12,2021,Belgian
HAM,,12,2021,Belgian
RIC,,12,2021,Belgian
VET,,12,2021,Belgian
GAS,,12,2021,Belgian
OCO,,12,2021,Belgian
LEC,,12,2021,Belgian
LAT,,12,2021,Belgian
SAI,,12,2021,Belgian
ALO,,12,2021,Belgian
BOT,,12,2021,Belgian
GIO,,12,2021,Belgian
NOR,,12,2021,Belgian
TSU,,12,2021,Belgian
MSC,,12,2021,Belgian
MAZ,,12,2021,Belgian
RAI,,12,2021,Belgian
PER,,12,2021,Belgian
STR,,12,2021,Belgian
VER,0 days 00:01:13.275000,13,2021,Dutch
HAM,0 days 00:01:11.097000,13,2021,Dutch
BOT,0 days 00:01:12.549000,13,2021,Dutch
GAS,0 days 00:01:14.818000,13,2021,Dutch
LEC,0 days 00:01:14.780000,13,2021,Dutch
ALO,0 days 00:01:14.323000,13,2021,Dutch
SAI,0 days 00:01:15.260000,13,2021,Dutch
PER,0 days 00:01:13.461000,13,2021,Dutch
OCO,0 days 00:01:14.675000,13,2021,Dutch
NOR,0 days 00:01:14.236000,13,2021,Dutch
RIC,0 days 00:01:14.920000,13,2021,Dutch
STR,0 days 00:01:15.611000,13,2021,Dutch
VET,0 days 00:01:13.958000,13,2021,Dutch
GIO,0 days 00:01:15.125000,13,2021,Dutch
KUB,0 days 00:01:15.442000,13,2021,Dutch
LAT,0 days 00:01:15.790000,13,2021,Dutch
RUS,0 days 00:01:15.628000,13,2021,Dutch
MSC,0 days 00:01:15.927000,13,2021,Dutch
TSU,0 days 00:01:15.783000,13,2021,Dutch
MAZ,0 days 00:01:16.066000,13,2021,Dutch
GAS,0 days 00:01:29.005000,14,2021,Italian
PER,0 days 00:01:25.156000,14,2021,Italian
ALO,0 days 00:01:25.472000,14,2021,Italian
LEC,0 days 00:01:25.319000,14,2021,Italian
STR,0 days 00:01:25.853000,14,2021,Italian
TSU,,14,2021,Italian
RIC,0 days 00:01:24.812000,14,2021,Italian
OCO,0 days 00:01:25.566000,14,2021,Italian
VER,0 days 00:01:25.173000,14,2021,Italian
NOR,0 days 00:01:24.971000,14,2021,Italian
HAM,0 days 00:01:25.870000,14,2021,Italian
MSC,0 days 00:01:26.707000,14,2021,Italian
VET,0 days 00:01:25.938000,14,2021,Italian
SAI,0 days 00:01:25.559000,14,2021,Italian
LAT,0 days 00:01:25.953000,14,2021,Italian
RUS,0 days 00:01:25.835000,14,2021,Italian
BOT,0 days 00:01:24.827000,14,2021,Italian
KUB,0 days 00:01:25.849000,14,2021,Italian
MAZ,0 days 00:01:27.202000,14,2021,Italian
GIO,0 days 00:01:25.718000,14,2021,Italian
HAM,0 days 00:01:37.575000,15,2021,Russian
VER,0 days 00:01:38.396000,15,2021,Russian
SAI,0 days 00:01:39.294000,15,2021,Russian
RIC,0 days 00:01:39.124000,15,2021,Russian
BOT,0 days 00:01:38.216000,15,2021,Russian
ALO,0 days 00:01:38.686000,15,2021,Russian
NOR,0 days 00:01:37.423000,15,2021,Russian
RAI,0 days 00:01:40.289000,15,2021,Russian
PER,0 days 00:01:39.215000,15,2021,Russian
RUS,0 days 00:01:40.596000,15,2021,Russian
STR,0 days 00:01:40.464000,15,2021,Russian
VET,0 days 00:01:39.251000,15,2021,Russian
GAS,0 days 00:01:38.279000,15,2021,Russian
OCO,0 days 00:01:40.598000,15,2021,Russian
LEC,0 days 00:01:38.994000,15,2021,Russian
GIO,0 days 00:01:39.058000,15,2021,Russian
TSU,0 days 00:01:39.960000,15,2021,Russian
MAZ,0 days 00:01:41.713000,15,2021,Russian
