Constructor,Race ID,Year,Status,Status_value,StatusComponent,Round,Mean,StdDev,PitStopComponent,ConstructorConfidence
Ferrari,1,2018,Finished Finished,2.0,0.9554171417126291,1,21.604,0.0,-0.085,-0.081
Ferrari,1,2019,Finished Finished,2.0,0.9554171417126291,1,22.647,0.0,-0.086,-0.082
Ferrari,1,2020,Finished Finished,2.0,0.9554171417126291,1,22.442,0.7662,-0.082,-0.078
Ferrari,1,2021,Finished Finished,2.0,0.9554171417126291,1,24.351,0.0216,0.475,0.454
Ferrari,2,2018,Finished Wheel,1.1,-0.953397232322116,2,24.771,0.0,-0.087,0.083
Ferrari,2,2019,Finished Wheel,1.1,-0.953397232322116,2,24.931,0.0092,1.219,-1.162
Ferrari,2,2020,Finished Wheel,1.1,-0.953397232322116,2,21.459,0.0,-0.085,0.081
Ferrari,2,2021,Finished Wheel,1.1,-0.953397232322116,2,30.701,4.4915,-0.097,0.092
Ferrari,3,2018,Finished Finished,2.0,0.9554171417126291,3,22.961,0.0,-0.086,-0.082
Ferrari,3,2019,Finished Finished,2.0,0.9554171417126291,3,23.21,0.1531,-0.014,-0.013
Ferrari,3,2020,Finished Finished,2.0,0.9554171417126291,3,24.898,3.9722,-0.096,-0.092
Ferrari,3,2021,Finished Finished,2.0,0.9554171417126291,3,21.574,0.2489,-0.043,-0.041
Ferrari,4,2018,Finished Finished,2.0,0.9554171417126291,4,23.005,3.4114,-0.095,-0.091
Ferrari,4,2019,Finished Finished,2.0,0.9554171417126291,4,20.691,0.0,-0.085,-0.081
Ferrari,4,2020,Finished Finished,2.0,0.9554171417126291,4,34.888,2.6499,-0.096,-0.092
Ferrari,4,2021,Finished Finished,2.0,0.9554171417126291,4,22.051,0.3939,-0.064,-0.061
Ferrari,4,2022,Finished Finished,2.0,0.9554171417126291,4,30.484,0.0,-0.089,-0.085
Ferrari,5,2018,Finished Turbo,1.2,-0.7413067463182557,5,23.164,1.5691,-0.091,0.067
Ferrari,5,2019,Finished Turbo,1.2,-0.7413067463182557,5,22.518,0.7435,-0.081,0.06
Ferrari,5,2020,Finished Turbo,1.2,-0.7413067463182557,5,28.732,0.0,-0.089,0.066
Ferrari,5,2021,Finished Turbo,1.2,-0.7413067463182557,5,24.223,0.0,-0.087,0.064
Ferrari,5,2022,Finished Turbo,1.2,-0.7413067463182557,5,19.861,0.0,-0.084,0.062
Ferrari,6,2018,Finished Finished,2.0,0.9554171417126291,6,24.114,0.0,-0.087,-0.083
Ferrari,6,2019,Finished Finished,2.0,0.9554171417126291,6,25.391,0.0,-0.087,-0.083
Ferrari,6,2020,Finished Finished,2.0,0.9554171417126291,6,22.038,0.0414,0.232,0.222
Ferrari,6,2021,Finished Finished,2.0,0.9554171417126291,6,18.72,1.731,-0.09,-0.086
Ferrari,6,2022,Finished Finished,2.0,0.9554171417126291,6,22.536,0.0,-0.086,-0.082
Ferrari,7,2018,Finished Finished,2.0,0.9554171417126291,7,23.587,0.0,-0.086,-0.082
Ferrari,7,2019,Finished Finished,2.0,0.9554171417126291,7,24.393,0.239,-0.047,-0.045
Ferrari,7,2020,Finished Finished,2.0,0.9554171417126291,7,22.971,0.0,-0.086,-0.082
Ferrari,7,2021,Finished Finished,2.0,0.9554171417126291,7,31.198,0.0,-0.09,-0.086
Ferrari,7,2022,Finished Finished,2.0,0.9554171417126291,7,24.965,0.0,-0.087,-0.083
Ferrari,8,2018,Finished Finished,2.0,0.9554171417126291,8,28.055,0.5597,-0.08,-0.076
Ferrari,8,2019,Finished Finished,2.0,0.9554171417126291,8,30.116,0.1499,-0.032,-0.031
Ferrari,8,2020,Finished Finished,2.0,0.9554171417126291,8,24.737,0.4002,-0.069,-0.066
Ferrari,8,2021,Finished Finished,2.0,0.9554171417126291,8,21.386,0.0,-0.085,-0.081
Ferrari,8,2022,Finished Finished,2.0,0.9554171417126291,8,20.249,0.0,-0.084,-0.08
Ferrari,9,2018,Finished Finished,2.0,0.9554171417126291,9,22.732,0.0,-0.086,-0.082
Ferrari,9,2019,Finished Finished,2.0,0.9554171417126291,9,22.726,1.0554,-0.087,-0.083
Ferrari,9,2020,Finished Finished,2.0,0.9554171417126291,9,24.556,7.2987,-0.098,-0.094
Ferrari,9,2021,Finished Finished,2.0,0.9554171417126291,9,21.43,0.0866,0.064,0.061
Ferrari,9,2022,Finished Finished,2.0,0.9554171417126291,9,23.544,0.1945,-0.033,-0.032
Ferrari,10,2018,Finished Finished,2.0,0.9554171417126291,10,31.102,3.5677,-0.097,-0.093
Ferrari,10,2019,Finished Finished,2.0,0.9554171417126291,10,30.804,3.6936,-0.097,-0.093
Ferrari,10,2020,Finished Finished,2.0,0.9554171417126291,10,31.356,0.0,-0.09,-0.086
Ferrari,10,2021,Finished Finished,2.0,0.9554171417126291,10,31.073,4.1656,-0.097,-0.093
Ferrari,10,2022,Finished Finished,2.0,0.9554171417126291,10,40.426,14.9631,-0.099,-0.095
Ferrari,11,2018,Finished Accident,1.6,0.10705519769718697,11,19.152,0.0,-0.083,-0.009
Ferrari,11,2019,Finished Accident,1.6,0.10705519769718697,11,23.844,0.2383,-0.046,-0.005
Ferrari,11,2020,Finished Accident,1.6,0.10705519769718697,11,23.178,0.6187,-0.078,-0.008
Ferrari,11,2021,Finished Accident,1.6,0.10705519769718697,11,31.09,10.0073,-0.098,-0.01
Ferrari,11,2022,Finished Accident,1.6,0.10705519769718697,11,22.112,0.0,-0.086,-0.009
Ferrari,12,2018,Finished Finished,2.0,0.9554171417126291,12,23.13,0.9341,-0.085,-0.081
Ferrari,12,2019,Finished Finished,2.0,0.9554171417126291,12,23.512,0.0,-0.086,-0.082
Ferrari,12,2020,Finished Finished,2.0,0.9554171417126291,12,27.864,0.0,-0.088,-0.084
Ferrari,12,2022,Finished Finished,2.0,0.9554171417126291,12,36.671,0.0,-0.091,-0.087
Ferrari,13,2018,Finished Brakes,1.0,-1.1654877183259769,13,25.913,4.156,-0.096,0.112
Ferrari,13,2019,Finished Brakes,1.0,-1.1654877183259769,13,26.569,3.8376,-0.096,0.112
Ferrari,13,2020,Finished Brakes,1.0,-1.1654877183259769,13,32.539,3.7346,-0.097,0.113
Ferrari,13,2021,Finished Brakes,1.0,-1.1654877183259769,13,18.672,0.012,1.25,-1.457
Ferrari,13,2022,Finished Brakes,1.0,-1.1654877183259769,13,21.402,0.0,-0.085,0.099
Ferrari,14,2018,Finished Finished,2.0,0.9554171417126291,14,26.061,2.7994,-0.095,-0.091
Ferrari,14,2019,Finished Finished,2.0,0.9554171417126291,14,29.019,5.0147,-0.097,-0.093
Ferrari,14,2020,Finished Finished,2.0,0.9554171417126291,14,27.886,0.6965,-0.084,-0.08
Ferrari,14,2021,Finished Finished,2.0,0.9554171417126291,14,25.542,0.5445,-0.078,-0.075
Ferrari,14,2022,Finished Finished,2.0,0.9554171417126291,14,23.222,0.0,-0.086,-0.082
Ferrari,15,2018,Finished Finished,2.0,0.9554171417126291,15,29.118,0.0,-0.089,-0.085
Ferrari,15,2019,Finished Finished,2.0,0.9554171417126291,15,29.688,0.0,-0.089,-0.085
Ferrari,15,2020,Finished Finished,2.0,0.9554171417126291,15,22.333,4.6871,-0.096,-0.092
Ferrari,15,2021,Finished Finished,2.0,0.9554171417126291,15,29.679,0.0103,0.89,0.85
Ferrari,15,2022,Finished Finished,2.0,0.9554171417126291,15,20.774,2.2875,-0.093,-0.089
Ferrari,16,2018,Finished Finished,2.0,0.9554171417126291,16,29.664,0.0,-0.089,-0.085
Ferrari,16,2019,Finished Finished,2.0,0.9554171417126291,16,30.318,4.0567,-0.097,-0.093
Ferrari,16,2020,Finished Finished,2.0,0.9554171417126291,16,26.804,2.1146,-0.094,-0.09
Ferrari,16,2021,Finished Finished,2.0,0.9554171417126291,16,23.336,0.0049,2.544,2.431
Ferrari,17,2018,Finished Finished,2.0,0.9554171417126291,17,22.764,0.0,-0.086,-0.082
Ferrari,17,2019,Finished Finished,2.0,0.9554171417126291,17,23.719,0.7506,-0.082,-0.078
Ferrari,17,2020,Finished Finished,2.0,0.9554171417126291,17,22.026,0.0,-0.086,-0.082
Ferrari,17,2021,Finished Finished,2.0,0.9554171417126291,17,24.584,0.0,-0.087,-0.083
Ferrari,17,2022,Finished Finished,2.0,0.9554171417126291,17,29.704,0.0,-0.089,-0.085
Ferrari,18,2018,Finished Finished,2.0,0.9554171417126291,18,24.082,0.0,-0.087,-0.083
Ferrari,18,2019,Finished Finished,2.0,0.9554171417126291,18,22.36,0.0739,0.084,0.08
Ferrari,18,2021,Finished Finished,2.0,0.9554171417126291,18,22.35,0.0,-0.086,-0.082
Ferrari,18,2022,Finished Finished,2.0,0.9554171417126291,18,15.134,12.8474,-0.098,-0.094
Ferrari,19,2018,Finished Finished,2.0,0.9554171417126291,19,22.117,0.3115,-0.055,-0.053
Ferrari,19,2019,Finished Finished,2.0,0.9554171417126291,19,24.615,0.1004,0.023,0.022
Ferrari,19,2021,Finished Finished,2.0,0.9554171417126291,19,18.217,0.0,-0.083,-0.079
Ferrari,19,2022,Finished Finished,2.0,0.9554171417126291,19,24.307,0.0,-0.087,-0.083
Ferrari,20,2018,Finished Finished,2.0,0.9554171417126291,20,22.691,0.0467,0.186,0.178
Ferrari,20,2019,Finished Finished,2.0,0.9554171417126291,20,23.251,0.0,-0.086,-0.082
Ferrari,20,2021,Finished Finished,2.0,0.9554171417126291,20,25.815,0.1913,-0.038,-0.036
Ferrari,20,2022,Finished Finished,2.0,0.9554171417126291,20,22.534,0.0,-0.086,-0.082
