Driver ID,Driver First Name,Driver Last Name,Permanent Number,Driver Code,Date of Birth,Nationality,year
alonso,Fernando,Alonso,14,ALO,1981-07-29,Spanish,2018
bottas,Valtteri,Bottas,77,BOT,1989-08-28,Finnish,2018
ericsson,Marcus,Ericsson,9,ERI,1990-09-02,Swedish,2018
gasly,Pierre,Gasly,10,GAS,1996-02-07,French,2018
grosjean,Romain,Grosjean,8,GRO,1986-04-17,French,2018
hamilton,Lewis,Hamilton,44,HAM,1985-01-07,British,2018
brendon_hartley,Brendon,Hartley,28,HAR,1989-11-10,New Zealander,2018
hulkenberg,Nico,Hülkenberg,27,HUL,1987-08-19,German,2018
leclerc,Charles,Leclerc,16,LEC,1997-10-16,Monegasque,2018
kevin_magnussen,Kevin,Magnussen,20,MAG,1992-10-05,Danish,2018
ocon,Esteban,Ocon,31,OCO,1996-09-17,French,2018
perez,Sergio,Pérez,11,PER,1990-01-26,Mexican,2018
raikkonen,Kimi,Räikkönen,7,RAI,1979-10-17,Finnish,2018
ricciardo,Daniel,Ricciardo,3,RIC,1989-07-01,Australian,2018
sainz,Carlos,Sainz,55,SAI,1994-09-01,Spanish,2018
sirotkin,Sergey,Sirotkin,35,SIR,1995-08-27,Russian,2018
stroll,Lance,Stroll,18,STR,1998-10-29,Canadian,2018
vandoorne,Stoffel,Vandoorne,2,VAN,1992-03-26,Belgian,2018
max_verstappen,Max,Verstappen,33,VER,1997-09-30,Dutch,2018
vettel,Sebastian,Vettel,5,VET,1987-07-03,German,2018
albon,Alexander,Albon,23,ALB,1996-03-23,Thai,2019
bottas,Valtteri,Bottas,77,BOT,1989-08-28,Finnish,2019
gasly,Pierre,Gasly,10,GAS,1996-02-07,French,2019
giovinazzi,Antonio,Giovinazzi,99,GIO,1993-12-14,Italian,2019
grosjean,Romain,Grosjean,8,GRO,1986-04-17,French,2019
hamilton,Lewis,Hamilton,44,HAM,1985-01-07,British,2019
hulkenberg,Nico,Hülkenberg,27,HUL,1987-08-19,German,2019
kubica,Robert,Kubica,88,KUB,1984-12-07,Polish,2019
kvyat,Daniil,Kvyat,26,KVY,1994-04-26,Russian,2019
leclerc,Charles,Leclerc,16,LEC,1997-10-16,Monegasque,2019
kevin_magnussen,Kevin,Magnussen,20,MAG,1992-10-05,Danish,2019
norris,Lando,Norris,4,NOR,1999-11-13,British,2019
perez,Sergio,Pérez,11,PER,1990-01-26,Mexican,2019
raikkonen,Kimi,Räikkönen,7,RAI,1979-10-17,Finnish,2019
ricciardo,Daniel,Ricciardo,3,RIC,1989-07-01,Australian,2019
russell,George,Russell,63,RUS,1998-02-15,British,2019
sainz,Carlos,Sainz,55,SAI,1994-09-01,Spanish,2019
stroll,Lance,Stroll,18,STR,1998-10-29,Canadian,2019
max_verstappen,Max,Verstappen,33,VER,1997-09-30,Dutch,2019
vettel,Sebastian,Vettel,5,VET,1987-07-03,German,2019
aitken,Jack,Aitken,89,AIT,1995-09-23,British,2020
albon,Alexander,Albon,23,ALB,1996-03-23,Thai,2020
bottas,Valtteri,Bottas,77,BOT,1989-08-28,Finnish,2020
pietro_fittipaldi,Pietro,Fittipaldi,51,FIT,1996-06-25,Brazilian,2020
gasly,Pierre,Gasly,10,GAS,1996-02-07,French,2020
giovinazzi,Antonio,Giovinazzi,99,GIO,1993-12-14,Italian,2020
grosjean,Romain,Grosjean,8,GRO,1986-04-17,French,2020
hamilton,Lewis,Hamilton,44,HAM,1985-01-07,British,2020
