Driver,Driver ID,Probability_of_Error
Brendon Hartley,brendon_hartley,0.14285714285714285
Romain Grosjean,grosjean,0.14035087719298245
Max Verstappen,max_verstappen,0.06796116504854369
Daniel Ricciardo,ricciardo,0.038834951456310676
Nico Hülkenberg,hulkenberg,0.10638297872340426
Esteban Ocon,ocon,0.04878048780487805
Sergey Sirotkin,sirotkin,0.047619047619047616
Pierre Gasly,gasly,0.05825242718446602
Charles Leclerc,leclerc,0.10679611650485436
Lance Stroll,stroll,0.08823529411764706
Stoffel Vandoorne,vandoorne,0.047619047619047616
Carlos Sainz,sainz,0.06796116504854369
Marcus Ericsson,ericsson,0.09523809523809523
Sebastian Vettel,vettel,0.06930693069306931
Fernando Alonso,alonso,0.046153846153846156
Kevin Magnussen,kevin_magnussen,0.07407407407407407
Lando Norris,norris,0.04878048780487805
Daniil Kvyat,kvyat,0.07894736842105263
Alexander Albon,albon,0.06779661016949153
Valtteri Bottas,bottas,0.038834951456310676
Antonio Giovinazzi,giovinazzi,0.05
Kimi Räikkönen,raikkonen,0.02531645569620253
George Russell,russell,0.07317073170731707
Nicholas Latifi,latifi,0.14754098360655737
Nikita Mazepin,mazepin,0.13636363636363635
Sergio Pérez,perez,0.0297029702970297
Lewis Hamilton,hamilton,0.0196078431372549
Mick Schumacher,mick_schumacher,0.06818181818181818
Yuki Tsunoda,tsunoda,0.09090909090909091
Guanyu Zhou,zhou,0.09090909090909091
