Driver ID,Total Points,Total Wins After 2017,Total Points Until 2017,Total Wins Until 2017,Season Points,Season Wins
alonso,2267.0,0,1849.0,32,"{2018: 50.0, 2019: 0, 2020: 0, 2021: 81.0, 2022: 81.0, 2023: 206.0}","{2018: 0, 2019: 0, 2020: 0, 2021: 0, 2022: 0, 2023: 0}"
bottas,1797.0,7,716.0,3,"{2018: 247.0, 2019: 326.0, 2020: 223.0, 2021: 226.0, 2022: 49.0, 2023: 10.0}","{2018: 0, 2019: 4, 2020: 2, 2021: 1, 2022: 0, 2023: 0}"
ericsson,18.0,0,9.0,0,"{2018: 9.0, 2019: 0, 2020: 0, 2021: 0, 2022: 0, 2023: 0}","{2018: 0, 2019: 0, 2020: 0, 2021: 0, 2022: 0, 2023: 0}"
gasly,394.0,1,0.0,0,"{2018: 29.0, 2019: 95.0, 2020: 75.0, 2021: 110.0, 2022: 23.0, 2023: 62.0}","{2018: 0, 2019: 0, 2020: 1, 2021: 0, 2022: 0, 2023: 0}"
grosjean,391.0,0,344.0,0,"{2018: 37.0, 2019: 8.0, 2020: 2.0, 2021: 0, 2022: 0, 2023: 0}","{2018: 0, 2019: 0, 2020: 0, 2021: 0, 2022: 0, 2023: 0}"
hamilton,4639.5,41,2610.0,62,"{2018: 408.0, 2019: 413.0, 2020: 347.0, 2021: 387.5, 2022: 240.0, 2023: 234.0}","{2018: 11, 2019: 11, 2020: 11, 2021: 8, 2022: 0, 2023: 0}"
brendon_hartley,4.0,0,0.0,0,"{2018: 4.0, 2019: 0, 2020: 0, 2021: 0, 2022: 0, 2023: 0}","{2018: 0, 2019: 0, 2020: 0, 2021: 0, 2022: 0, 2023: 0}"
hulkenberg,530.0,0,405.0,0,"{2018: 69.0, 2019: 37.0, 2020: 10.0, 2021: 0, 2022: 0.0, 2023: 9.0}","{2018: 0, 2019: 0, 2020: 0, 2021: 0, 2022: 0, 2023: 0}"
leclerc,1074.0,5,0.0,0,"{2018: 39.0, 2019: 264.0, 2020: 98.0, 2021: 159.0, 2022: 308.0, 2023: 206.0}","{2018: 0, 2019: 2, 2020: 0, 2021: 0, 2022: 3, 2023: 0}"
kevin_magnussen,186.0,0,81.0,0,"{2018: 56.0, 2019: 20.0, 2020: 1.0, 2021: 0, 2022: 25.0, 2023: 3.0}","{2018: 0, 2019: 0, 2020: 0, 2021: 0, 2022: 0, 2023: 0}"
ocon,422.0,1,87.0,0,"{2018: 49.0, 2019: 0, 2020: 62.0, 2021: 74.0, 2022: 92.0, 2023: 58.0}","{2018: 0, 2019: 0, 2020: 0, 2021: 1, 2022: 0, 2023: 0}"
