Driver ID,Stop,Lap,Time,Duration
kubica,1,1,16:15:28,32.997
ricciardo,1,1,16:15:30,33.027
raikkonen,1,12,16:31:50,23.299
hulkenberg,1,13,16:33:19,21.588
perez,1,13,16:33:28,23.234
vettel,1,14,16:34:28,21.995
kevin_magnussen,1,14,16:34:47,22.388
albon,1,14,16:34:57,21.780
hamilton,1,15,16:35:52,21.515
grosjean,1,15,16:36:19,29.981
norris,1,15,16:36:25,21.627
bottas,1,23,16:47:33,22.014
max_verstappen,1,25,16:50:47,21.157
kvyat,1,26,16:52:54,22.086
russell,1,26,16:53:46,21.689
stroll,1,27,16:54:21,22.471
giovinazzi,1,27,16:54:58,27.172
leclerc,1,28,16:55:26,22.306
kubica,2,28,16:58:10,22.343
gasly,1,37,17:09:14,21.269
russell,2,42,17:18:18,21.543
kubica,3,44,17:22:42,21.889
stroll,1,1,18:15:42,34.338
grosjean,1,1,18:15:49,32.082
sainz,1,4,18:20:43,45.543
perez,1,8,18:26:49,27.136
raikkonen,1,9,18:28:25,25.647
gasly,1,9,18:28:32,27.557
albon,1,9,18:28:33,25.659
norris,1,10,18:30:09,24.175
kevin_magnussen,1,10,18:30:10,24.948
max_verstappen,1,11,18:31:32,24.199
kubica,1,11,18:32:04,24.667
bottas,1,12,18:33:08,24.865
hulkenberg,1,12,18:33:19,25.498
kvyat,1,12,18:33:44,26.508
russell,1,12,18:33:46,24.633
leclerc,1,13,18:34:36,24.518
hamilton,1,13,18:34:41,24.255
vettel,1,14,18:36:18,24.228
giovinazzi,1,16,18:40:11,27.725
stroll,2,23,18:52:28,26.600
ricciardo,1,24,18:53:09,25.676
sainz,2,24,18:54:12,25.034
albon,2,25,18:55:06,24.842
russell,2,26,18:57:17,24.912
kubica,2,27,18:59:03,24.313
max_verstappen,2,32,19:05:59,26.729
hulkenberg,2,32,19:06:16,25.253
raikkonen,2,33,19:08:04,25.621
perez,2,33,19:08:18,26.798
hamilton,2,34,19:08:53,24.324
sainz,1,1,14:15:38,45.878
norris,1,1,14:15:45,50.738
kvyat,1,7,14:25:49,17.257
giovinazzi,1,7,14:25:51,25.184
grosjean,1,8,14:27:26,23.261
kevin_magnussen,1,9,14:29:10,23.964
hulkenberg,1,11,14:32:24,24.107
max_verstappen,1,17,14:42:01,23.223
norris,2,17,14:43:26,33.638
vettel,1,18,14:43:39,22.749
ricciardo,1,18,14:44:01,23.506
gasly,1,19,14:45:31,22.301
albon,1,19,14:46:02,23.215
perez,1,20,14:47:27,23.733
stroll,1,20,14:47:41,23.466
bottas,1,21,14:48:27,22.196
hamilton,1,22,14:50:01,22.644
leclerc,1,22,14:50:21,22.921
russell,1,22,14:51:29,24.332
raikkonen,1,25,14:55:54,23.888
kvyat,2,25,14:56:18,26.050
kubica,1,26,14:58:30,32.627
giovinazzi,2,30,15:04:51,25.137
kvyat,3,30,15:04:57,43.206
kevin_magnussen,2,33,15:09:45,23.383
max_verstappen,2,34,15:10:12,22.365
vettel,2,35,15:11:41,22.316
norris,3,34,15:12:20,22.524
grosjean,2,35,15:12:56,23.520
hamilton,2,36,15:13:05,23.597
kvyat,1,5,16:23:10,21.013
raikkonen,1,6,16:25:08,21.401
kevin_magnussen,1,7,16:26:55,20.118
giovinazzi,1,7,16:27:02,20.776
hulkenberg,1,8,16:28:49,21.325
norris,1,9,16:30:25,19.819
perez,1,10,16:32:13,20.939
stroll,1,10,16:32:27,23.099
ricciardo,1,10,16:32:28,20.884
vettel,1,11,16:33:45,19.981
bottas,1,12,16:35:24,20.006
sainz,1,12,16:35:58,19.755
albon,1,12,16:36:16,20.720
hamilton,1,13,16:37:17,19.993
max_verstappen,1,14,16:39:16,20.973
kubica,1,14,16:40:06,15.069
kubica,2,23,16:57:00,21.037
russell,1,25,17:00:30,20.475
leclerc,1,34,17:14:53,20.382
hulkenberg,2,34,17:16:30,20.870
grosjean,1,34,17:16:33,20.906
russell,2,38,17:24:45,20.751
norris,2,39,17:25:02,22.080
kevin_magnussen,2,39,17:26:07,20.859
kubica,3,42,17:33:14,20.703
leclerc,2,47,17:39:16,19.857
giovinazzi,1,6,15:21:55,22.381
vettel,1,19,15:39:39,23.746
max_verstappen,1,20,15:40:52,22.417
kvyat,1,21,15:42:48,22.049
gasly,1,22,15:43:55,22.563
stroll,1,22,15:44:26,23.321
kevin_magnussen,1,23,15:45:34,22.025
ricciardo,1,24,15:47:07,22.379
sainz,1,24,15:47:10,21.468
perez,1,24,15:47:11,22.781
leclerc,1,25,15:47:53,23.646
albon,1,25,15:48:27,23.591
bottas,1,26,15:49:04,22.034
grosjean,1,26,15:49:40,22.379
norris,1,26,15:50:07,21.579
hamilton,1,27,15:50:16,22.265
raikkonen,1,28,15:53:02,22.342
kubica,1,31,15:58:16,21.954
russell,1,32,15:59:33,22.442
hulkenberg,1,35,16:02:40,22.193
vettel,2,40,16:08:48,21.643
giovinazzi,2,41,16:12:09,23.507
max_verstappen,2,43,16:12:43,22.540
bottas,2,45,16:15:21,22.018
kvyat,2,45,16:16:25,33.821
kevin_magnussen,2,45,16:16:29,22.992
albon,2,45,16:16:34,37.345
hamilton,2,46,16:16:43,22.511
ricciardo,2,45,16:16:58,22.702
perez,2,45,16:17:06,22.896
hulkenberg,1,9,15:24:59,25.532
leclerc,1,9,15:25:11,25.964
russell,1,10,15:26:35,26.165
hamilton,1,11,15:27:03,24.266
bottas,1,11,15:27:11,25.030
max_verstappen,1,11,15:27:12,24.011
vettel,1,11,15:27:12,24.483
ricciardo,1,11,15:27:55,24.269
kevin_magnussen,1,11,15:27:55,25.419
perez,1,11,15:28:09,28.463
bottas,2,12,15:29:18,24.776
leclerc,2,16,15:36:31,25.705
kubica,1,21,15:43:09,23.946
gasly,1,27,15:50:18,24.161
sainz,1,30,15:54:15,23.795
kvyat,1,32,15:56:48,24.023
stroll,1,39,16:06:35,24.591
albon,1,40,16:07:15,25.062
giovinazzi,1,44,16:13:29,35.651
raikkonen,1,46,16:15:59,26.299
norris,1,47,16:16:57,25.026
grosjean,1,50,16:20:12,24.219
gasly,2,62,16:35:42,23.858
albon,1,1,14:14:33,37.950
sainz,1,3,14:17:05,24.727
raikkonen,1,6,14:21:09,25.342
gasly,1,7,14:22:11,23.485
ricciardo,1,8,14:23:27,23.927
kubica,1,8,14:24:00,25.210
russell,1,9,14:25:14,23.686
perez,1,11,14:27:40,24.076
kvyat,1,12,14:28:56,23.825
hulkenberg,1,16,14:33:51,24.030
vettel,1,26,14:46:21,23.782
hamilton,1,28,14:48:57,23.662
bottas,1,30,14:51:51,23.994
leclerc,1,33,14:55:25,23.732
giovinazzi,1,33,14:56:30,23.884
grosjean,1,34,14:57:56,24.071
kubica,2,38,15:04:19,23.119
kevin_magnussen,1,39,15:04:54,24.381
stroll,1,45,15:11:32,23.727
max_verstappen,1,48,15:14:55,23.426
raikkonen,2,58,15:28:58,24.666
bottas,2,67,15:38:52,23.456
giovinazzi,1,7,15:25:01,30.842
ricciardo,1,16,15:39:36,31.031
kevin_magnussen,1,16,15:39:52,30.832
gasly,1,17,15:41:13,30.228
norris,1,18,15:42:44,30.576
perez,1,18,15:42:54,37.286
sainz,1,19,15:44:20,29.920
max_verstappen,1,20,15:45:33,30.118
leclerc,1,21,15:47:03,30.203
bottas,1,23,15:50:09,30.412
hamilton,1,24,15:51:35,30.186
kubica,1,24,15:53:31,29.792
vettel,1,25,15:53:36,30.044
albon,1,25,15:54:23,30.279
russell,1,25,15:55:03,31.950
raikkonen,1,31,16:03:51,29.975
grosjean,1,31,16:04:18,30.837
kvyat,1,32,16:05:49,30.233
russell,2,33,16:08:33,37.494
hulkenberg,1,34,16:08:41,30.884
giovinazzi,2,34,16:09:23,31.697
stroll,1,39,16:16:51,30.849
vettel,2,51,16:35:13,30.468
kevin_magnussen,1,11,15:26:15,23.243
kevin_magnussen,2,13,15:29:01,16.224
kubica,1,19,15:36:00,21.525
bottas,1,21,15:37:18,22.552
vettel,1,21,15:37:22,25.236
leclerc,1,22,15:38:23,21.878
raikkonen,1,23,15:40:05,21.709
giovinazzi,1,24,15:41:20,21.672
norris,1,25,15:42:23,21.547
gasly,1,25,15:42:27,22.239
stroll,1,25,15:42:36,21.982
hulkenberg,1,26,15:43:43,21.985
russell,1,27,15:45:22,22.772
perez,1,28,15:46:02,22.330
hamilton,1,30,15:47:46,30.067
max_verstappen,1,31,15:49:00,21.110
kvyat,1,32,15:51:13,25.091
grosjean,1,34,15:53:32,22.265
albon,1,35,15:54:33,21.225
sainz,1,41,16:01:19,21.266
ricciardo,1,46,16:07:18,22.305
vettel,2,50,16:11:04,22.251
kevin_magnussen,3,62,16:27:00,22.309
grosjean,1,1,14:15:12,33.562
kevin_magnussen,1,1,14:15:41,32.767
gasly,1,12,14:31:30,27.905
ricciardo,1,12,14:31:41,28.416
kvyat,1,12,14:31:52,29.377
leclerc,1,13,14:32:59,28.558
max_verstappen,1,13,14:33:00,27.827
norris,1,13,14:33:12,28.275
albon,1,13,14:33:18,28.954
hulkenberg,1,13,14:33:19,28.926
stroll,1,13,14:33:24,30.400
bottas,1,16,14:37:23,28.493
raikkonen,1,17,14:39:34,28.364
perez,1,18,14:41:03,30.264
hamilton,1,20,14:43:34,28.905
vettel,1,20,14:43:56,28.021
max_verstappen,2,20,14:44:20,27.950
sainz,1,20,14:44:26,27.980
ricciardo,2,20,14:44:42,28.381
kubica,1,20,14:45:15,28.694
leclerc,2,21,14:46:29,28.348
kvyat,2,21,14:47:13,28.811
russell,1,21,14:47:16,30.245
perez,2,24,14:52:57,38.032
norris,2,35,15:09:29,27.919
vettel,2,38,15:14:24,38.468
stroll,2,39,15:15:42,29.074
bottas,2,45,15:23:52,28.177
perez,3,46,15:26:57,28.747
vettel,1,2,15:23:38,20.094
albon,1,2,15:23:41,20.576
hamilton,1,3,15:25:13,20.203
