Round,Driver Id,Driver First Name,Driver Last Name,Constructor Name,Position,Q1 Time,Q2 Time,Q3 Time
1,hamilton,Lewis,Hamilton,Mercedes,1,1:22.824,,
1,raikkonen,Kimi,Räikkönen,Ferrari,2,1:23.096,,
1,vettel,Sebastian,Vettel,Ferrari,3,1:23.348,,
1,max_verstappen,Max,Verstappen,Red Bull,4,1:23.483,,
1,ricciardo,Daniel,Ricciardo,Red Bull,5,1:23.494,,
1,kevin_magnussen,Kevin,Magnussen,Haas F1 Team,6,1:23.909,,
1,grosjean,Romain,Grosjean,Haas F1 Team,7,1:23.671,,
1,hulkenberg,Nico,Hülkenberg,Renault,8,1:23.782,,
1,sainz,Carlos,Sainz,Renault,9,1:23.529,,
1,bottas,Valtteri,Bottas,Mercedes,10,1:23.686,,
1,alonso,Fernando,Alonso,McLaren,11,1:23.597,,
1,vandoorne,Stoffel,Vandoorne,McLaren,12,1:24.073,,
1,perez,Sergio,Pérez,Force India,13,1:24.344,,
1,stroll,Lance,Stroll,Williams,14,1:24.464,,
1,ocon,Esteban,Ocon,Force India,15,1:24.503,,
1,brendon_hartley,Brendon,Hartley,Toro Rosso,16,1:24.532,,
1,ericsson,Marcus,Ericsson,Sauber,17,1:24.556,,
1,leclerc,Charles,Leclerc,Sauber,18,1:24.636,,
1,sirotkin,Sergey,Sirotkin,Williams,19,1:24.922,,
1,gasly,Pierre,Gasly,Toro Rosso,20,1:25.295,,
2,vettel,Sebastian,Vettel,Ferrari,1,1:29.060,,
2,raikkonen,Kimi,Räikkönen,Ferrari,2,1:28.951,,
2,bottas,Valtteri,Bottas,Mercedes,3,1:29.275,,
2,hamilton,Lewis,Hamilton,Mercedes,4,1:29.396,,
2,ricciardo,Daniel,Ricciardo,Red Bull,5,1:29.552,,
2,gasly,Pierre,Gasly,Toro Rosso,6,1:30.121,,
2,kevin_magnussen,Kevin,Magnussen,Haas F1 Team,7,1:29.594,,
2,hulkenberg,Nico,Hülkenberg,Renault,8,1:30.260,,
2,ocon,Esteban,Ocon,Force India,9,1:30.338,,
2,sainz,Carlos,Sainz,Renault,10,1:29.893,,
2,brendon_hartley,Brendon,Hartley,Toro Rosso,11,1:30.412,,
2,perez,Sergio,Pérez,Force India,12,1:30.218,,
2,alonso,Fernando,Alonso,McLaren,13,1:30.530,,
2,vandoorne,Stoffel,Vandoorne,McLaren,14,1:30.479,,
2,max_verstappen,Max,Verstappen,Red Bull,15,1:29.374,,
2,grosjean,Romain,Grosjean,Haas F1 Team,16,1:30.530,,
2,ericsson,Marcus,Ericsson,Sauber,17,1:31.063,,
2,sirotkin,Sergey,Sirotkin,Williams,18,1:31.414,,
2,leclerc,Charles,Leclerc,Sauber,19,1:31.420,,
2,stroll,Lance,Stroll,Williams,20,1:31.503,,
3,vettel,Sebastian,Vettel,Ferrari,1,1:32.171,,
3,raikkonen,Kimi,Räikkönen,Ferrari,2,1:32.474,,
3,bottas,Valtteri,Bottas,Mercedes,3,1:32.921,,
3,hamilton,Lewis,Hamilton,Mercedes,4,1:33.283,,
3,max_verstappen,Max,Verstappen,Red Bull,5,1:32.932,,
3,ricciardo,Daniel,Ricciardo,Red Bull,6,1:33.877,,
3,hulkenberg,Nico,Hülkenberg,Renault,7,1:33.545,,
3,perez,Sergio,Pérez,Force India,8,1:33.464,,
3,sainz,Carlos,Sainz,Renault,9,1:33.315,,
3,grosjean,Romain,Grosjean,Haas F1 Team,10,1:33.238,,
3,kevin_magnussen,Kevin,Magnussen,Haas F1 Team,11,1:33.359,,
3,ocon,Esteban,Ocon,Force India,12,1:33.585,,
3,alonso,Fernando,Alonso,McLaren,13,1:33.428,,
3,vandoorne,Stoffel,Vandoorne,McLaren,14,1:33.824,,
3,brendon_hartley,Brendon,Hartley,Toro Rosso,15,1:34.013,,
3,sirotkin,Sergey,Sirotkin,Williams,16,1:34.062,,
3,gasly,Pierre,Gasly,Toro Rosso,17,1:34.101,,
3,stroll,Lance,Stroll,Williams,18,1:34.285,,
3,leclerc,Charles,Leclerc,Sauber,19,1:34.454,,
3,ericsson,Marcus,Ericsson,Sauber,20,1:34.914,,
4,vettel,Sebastian,Vettel,Ferrari,1,1:42.762,,
4,hamilton,Lewis,Hamilton,Mercedes,2,1:42.693,,
4,bottas,Valtteri,Bottas,Mercedes,3,1:43.355,,
4,ricciardo,Daniel,Ricciardo,Red Bull,4,1:42.857,,
