Driver ID,Driver First Name,Driver Last Name,Permanent Number,Driver Code,Date of Birth,Nationality
alesi,Jean,Alesi,,,1964-06-11,French
alonso,Fernando,Alonso,14,ALO,1981-07-29,Spanish
barrichello,Rubens,Barrichello,,BAR,1972-05-23,Brazilian
bernoldi,Enrique,Bernoldi,,,1978-10-19,Brazilian
burti,Luciano,Burti,,,1975-03-05,Brazilian
button,Jenson,Button,22,BUT,1980-01-19,British
coulthard,David,Coulthard,,COU,1971-03-27,British
rosa,Pedro,de la Rosa,,DLR,1971-02-24,Spanish
enge,Tomáš,Enge,,,1976-09-11,Czech
fisichella,Giancarlo,Fisichella,,FIS,1973-01-14,Italian
frentzen,Heinz-Harald,Frentzen,,,1967-05-18,German
hakkinen,Mika,Häkkinen,,,1968-09-28,Finnish
heidfeld,Nick,Heidfeld,,HEI,1977-05-10,German
irvine,Eddie,Irvine,,,1965-11-10,British
marques,Tarso,Marques,,,1976-01-19,Brazilian
mazzacane,Gastón,Mazzacane,,,1975-05-08,Argentine
montoya,Juan,Pablo Montoya,,MON,1975-09-20,Colombian
panis,Olivier,Panis,,,1966-09-02,French
raikkonen,Kimi,Räikkönen,7,RAI,1979-10-17,Finnish
michael_schumacher,Michael,Schumacher,,MSC,1969-01-03,German
ralf_schumacher,Ralf,Schumacher,,SCH,1975-06-30,German
trulli,Jarno,Trulli,,TRU,1974-07-13,Italian
verstappen,Jos,Verstappen,,,1972-03-04,Dutch
villeneuve,Jacques,Villeneuve,,VIL,1971-04-09,Canadian
yoong,Alex,Yoong,,,1976-07-20,Malaysian
zonta,Ricardo,Zonta,,ZON,1976-03-23,Brazilian
