Driver ID,Total Points Until 2017,Total Points,Total Wins,Season Points,Season Wins
brendon_hartley,0.0,4.0,0,"{2018: 4.0, 2019: 0, 2020: 0, 2021: 0, 2022: 0, 2023: 0}","{2018: 0, 2019: 0, 2020: 0, 2021: 0, 2022: 0, 2023: 0}"
grosjean,344.0,346.0,0,"{2018: 381.0, 2019: 352.0, 2020: 346.0, 2021: 0, 2022: 0, 2023: 0}","{2018: 0, 2019: 0, 2020: 0, 2021: 0, 2022: 0, 2023: 0}"
max_verstappen,421.0,996.0,54,"{2018: 670.0, 2019: 699.0, 2020: 635.0, 2021: 816.5, 2022: 875.0, 2023: 996.0}","{2018: 5, 2019: 8, 2020: 10, 2021: 20, 2022: 35, 2023: 54}"
ricciardo,816.0,822.0,8,"{2018: 986.0, 2019: 870.0, 2020: 935.0, 2021: 931.0, 2022: 853.0, 2023: 822.0}","{2018: 7, 2019: 7, 2020: 7, 2021: 8, 2022: 8, 2023: 8}"
hulkenberg,405.0,414.0,0,"{2018: 474.0, 2019: 442.0, 2020: 415.0, 2021: 0, 2022: 405.0, 2023: 414.0}","{2018: 0, 2019: 0, 2020: 0, 2021: 0, 2022: 0, 2023: 0}"
ocon,87.0,145.0,1,"{2018: 136.0, 2019: 0, 2020: 149.0, 2021: 161.0, 2022: 179.0, 2023: 145.0}","{2018: 0, 2019: 0, 2020: 0, 2021: 1, 2022: 1, 2023: 1}"
sirotkin,0.0,1.0,0,"{2018: 1.0, 2019: 0, 2020: 0, 2021: 0, 2022: 0, 2023: 0}","{2018: 0, 2019: 0, 2020: 0, 2021: 0, 2022: 0, 2023: 0}"
gasly,0.0,62.0,1,"{2018: 29.0, 2019: 95.0, 2020: 75.0, 2021: 110.0, 2022: 23.0, 2023: 62.0}","{2018: 0, 2019: 0, 2020: 1, 2021: 1, 2022: 1, 2023: 1}"
leclerc,0.0,206.0,5,"{2018: 39.0, 2019: 264.0, 2020: 98.0, 2021: 159.0, 2022: 308.0, 2023: 206.0}","{2018: 0, 2019: 2, 2020: 2, 2021: 2, 2022: 5, 2023: 5}"
stroll,40.0,114.0,0,"{2018: 46.0, 2019: 61.0, 2020: 115.0, 2021: 74.0, 2022: 58.0, 2023: 114.0}","{2018: 0, 2019: 0, 2020: 0, 2021: 0, 2022: 0, 2023: 0}"
vandoorne,14.0,26.0,0,"{2018: 26.0, 2019: 0, 2020: 0, 2021: 0, 2022: 0, 2023: 0}","{2018: 0, 2019: 0, 2020: 0, 2021: 0, 2022: 0, 2023: 0}"
sainz,118.0,318.0,2,"{2018: 171.0, 2019: 214.0, 2020: 223.0, 2021: 282.5, 2022: 364.0, 2023: 318.0}","{2018: 0, 2019: 0, 2020: 0, 2021: 0, 2022: 1, 2023: 2}"
ericsson,9.0,18.0,0,"{2018: 18.0, 2019: 0, 2020: 0, 2021: 0, 2022: 0, 2023: 0}","{2018: 0, 2019: 0, 2020: 0, 2021: 0, 2022: 0, 2023: 0}"
vettel,2425.0,2462.0,53,"{2018: 2745.0, 2019: 2665.0, 2020: 2458.0, 2021: 2468.0, 2022: 2462.0, 2023: 0}","{2018: 52, 2019: 53, 2020: 53, 2021: 53, 2022: 53, 2023: 0}"
alonso,1849.0,2055.0,32,"{2018: 1899.0, 2019: 0, 2020: 0, 2021: 1930.0, 2022: 1930.0, 2023: 2055.0}","{2018: 32, 2019: 0, 2020: 0, 2021: 32, 2022: 32, 2023: 32}"
kevin_magnussen,81.0,84.0,0,"{2018: 137.0, 2019: 101.0, 2020: 82.0, 2021: 0, 2022: 106.0, 2023: 84.0}","{2018: 0, 2019: 0, 2020: 0, 2021: 0, 2022: 0, 2023: 0}"
norris,0.0,205.0,0,"{2018: 0, 2019: 49.0, 2020: 97.0, 2021: 160.0, 2022: 122.0, 2023: 205.0}","{2018: 0, 2019: 0, 2020: 0, 2021: 0, 2022: 0, 2023: 0}"
kvyat,133.0,165.0,0,"{2018: 0, 2019: 170.0, 2020: 165.0, 2021: 0, 2022: 0, 2023: 0}","{2018: 0, 2019: 0, 2020: 0, 2021: 0, 2022: 0, 2023: 0}"
albon,0.0,27.0,0,"{2018: 0, 2019: 92.0, 2020: 105.0, 2021: 0, 2022: 4.0, 2023: 27.0}","{2018: 0, 2019: 0, 2020: 0, 2021: 0, 2022: 0, 2023: 0}"
bottas,716.0,726.0,10,"{2018: 963.0, 2019: 1042.0, 2020: 939.0, 2021: 942.0, 2022: 765.0, 2023: 726.0}","{2018: 3, 2019: 7, 2020: 9, 2021: 10, 2022: 10, 2023: 10}"
giovinazzi,0.0,3.0,0,"{2018: 0, 2019: 14.0, 2020: 4.0, 2021: 3.0, 2022: 0, 2023: 0}","{2018: 0, 2019: 0, 2020: 0, 2021: 0, 2022: 0, 2023: 0}"
raikkonen,1565.0,1575.0,21,"{2018: 1816.0, 2019: 1608.0, 2020: 1569.0, 2021: 1575.0, 2022: 0, 2023: 0}","{2018: 21, 2019: 21, 2020: 21, 2021: 21, 2022: 0, 2023: 0}"
russell,0.0,175.0,1,"{2018: 0, 2019: 0.0, 2020: 3.0, 2021: 16.0, 2022: 275.0, 2023: 175.0}","{2018: 0, 2019: 0, 2020: 0, 2021: 0, 2022: 1, 2023: 1}"
latifi,0.0,2.0,0,"{2018: 0, 2019: 0, 2020: 0.0, 2021: 7.0, 2022: 2.0, 2023: 0}","{2018: 0, 2019: 0, 2020: 0, 2021: 0, 2022: 0, 2023: 0}"
mazepin,0.0,0.0,0,"{2018: 0, 2019: 0, 2020: 0, 2021: 0.0, 2022: 0, 2023: 0}","{2018: 0, 2019: 0, 2020: 0, 2021: 0, 2022: 0, 2023: 0}"
perez,467.0,752.0,6,"{2018: 529.0, 2019: 519.0, 2020: 592.0, 2021: 657.0, 2022: 772.0, 2023: 752.0}","{2018: 0, 2019: 0, 2020: 1, 2021: 2, 2022: 4, 2023: 6}"
hamilton,2610.0,2844.0,103,"{2018: 3018.0, 2019: 3023.0, 2020: 2957.0, 2021: 2997.5, 2022: 2850.0, 2023: 2844.0}","{2018: 73, 2019: 84, 2020: 95, 2021: 103, 2022: 103, 2023: 103}"
mick_schumacher,0.0,12.0,0,"{2018: 0, 2019: 0, 2020: 0, 2021: 0.0, 2022: 12.0, 2023: 0}","{2018: 0, 2019: 0, 2020: 0, 2021: 0, 2022: 0, 2023: 0}"
tsunoda,0.0,17.0,0,"{2018: 0, 2019: 0, 2020: 0, 2021: 32.0, 2022: 12.0, 2023: 17.0}","{2018: 0, 2019: 0, 2020: 0, 2021: 0, 2022: 0, 2023: 0}"
zhou,0.0,6.0,0,"{2018: 0, 2019: 0, 2020: 0, 2021: 0, 2022: 6.0, 2023: 6.0}","{2018: 0, 2019: 0, 2020: 0, 2021: 0, 2022: 0, 2023: 0}"
