Driver,FastestLap,RaceID,year,EventName
VER,0 days 00:01:36.236000,1,2023,Bahrain
GAS,0 days 00:01:35.068000,1,2023,Bahrain
PER,0 days 00:01:36.344000,1,2023,Bahrain
ALO,0 days 00:01:36.156000,1,2023,Bahrain
LEC,0 days 00:01:37.170000,1,2023,Bahrain
STR,0 days 00:01:36.546000,1,2023,Bahrain
SAR,0 days 00:01:36.037000,1,2023,Bahrain
MAG,0 days 00:01:36.471000,1,2023,Bahrain
DEV,0 days 00:01:37.709000,1,2023,Bahrain
TSU,0 days 00:01:36.637000,1,2023,Bahrain
ALB,0 days 00:01:37.144000,1,2023,Bahrain
ZHO,0 days 00:01:33.996000,1,2023,Bahrain
HUL,0 days 00:01:36.616000,1,2023,Bahrain
OCO,0 days 00:01:36.797000,1,2023,Bahrain
NOR,0 days 00:01:35.822000,1,2023,Bahrain
HAM,0 days 00:01:36.546000,1,2023,Bahrain
SAI,0 days 00:01:37.130000,1,2023,Bahrain
RUS,0 days 00:01:37.221000,1,2023,Bahrain
BOT,0 days 00:01:37.379000,1,2023,Bahrain
PIA,0 days 00:01:40.691000,1,2023,Bahrain
VER,0 days 00:01:31.906000,2,2023,Saudi Arabian
GAS,0 days 00:01:33.392000,2,2023,Saudi Arabian
PER,0 days 00:01:32.188000,2,2023,Saudi Arabian
ALO,0 days 00:01:32.240000,2,2023,Saudi Arabian
LEC,0 days 00:01:33.056000,2,2023,Saudi Arabian
STR,0 days 00:01:35.140000,2,2023,Saudi Arabian
SAR,0 days 00:01:34.469000,2,2023,Saudi Arabian
MAG,0 days 00:01:33.374000,2,2023,Saudi Arabian
DEV,0 days 00:01:33.609000,2,2023,Saudi Arabian
TSU,0 days 00:01:33.931000,2,2023,Saudi Arabian
ALB,0 days 00:01:35.567000,2,2023,Saudi Arabian
ZHO,0 days 00:01:33.894000,2,2023,Saudi Arabian
HUL,0 days 00:01:33.780000,2,2023,Saudi Arabian
OCO,0 days 00:01:33.222000,2,2023,Saudi Arabian
NOR,0 days 00:01:34.122000,2,2023,Saudi Arabian
HAM,0 days 00:01:32.941000,2,2023,Saudi Arabian
SAI,0 days 00:01:32.822000,2,2023,Saudi Arabian
RUS,0 days 00:01:32.433000,2,2023,Saudi Arabian
BOT,0 days 00:01:34.384000,2,2023,Saudi Arabian
PIA,0 days 00:01:34.287000,2,2023,Saudi Arabian
VER,0 days 00:01:20.342000,3,2023,Australian
GAS,0 days 00:01:20.995000,3,2023,Australian
PER,0 days 00:01:20.235000,3,2023,Australian
ALO,0 days 00:01:20.476000,3,2023,Australian
LEC,,3,2023,Australian
STR,0 days 00:01:20.934000,3,2023,Australian
SAR,0 days 00:01:21.456000,3,2023,Australian
MAG,0 days 00:01:21.685000,3,2023,Australian
DEV,0 days 00:01:21.183000,3,2023,Australian
TSU,0 days 00:01:21.789000,3,2023,Australian
ALB,0 days 00:01:23.349000,3,2023,Australian
ZHO,0 days 00:01:21.819000,3,2023,Australian
HUL,0 days 00:01:21.124000,3,2023,Australian
OCO,0 days 00:01:21.203000,3,2023,Australian
NOR,0 days 00:01:21.173000,3,2023,Australian
HAM,0 days 00:01:20.613000,3,2023,Australian
SAI,0 days 00:01:20.467000,3,2023,Australian
RUS,0 days 00:01:22.680000,3,2023,Australian
BOT,0 days 00:01:22.233000,3,2023,Australian
PIA,0 days 00:01:21.335000,3,2023,Australian
VER,0 days 00:01:44.232000,4,2023,Azerbaijan
GAS,0 days 00:01:45.540000,4,2023,Azerbaijan
PER,0 days 00:01:44.589000,4,2023,Azerbaijan
ALO,0 days 00:01:44.241000,4,2023,Azerbaijan
LEC,0 days 00:01:44.561000,4,2023,Azerbaijan
STR,0 days 00:01:45.627000,4,2023,Azerbaijan
