Driver ID,Stop,Lap,Time,Duration
gasly,1,9,18:18:56,25.885
norris,1,10,18:20:31,32.766
tsunoda,1,10,18:20:34,25.267
bottas,1,11,18:22:06,25.399
albon,1,11,18:22:12,25.054
hulkenberg,1,11,18:22:21,26.075
de_vries,1,11,18:22:21,25.018
hamilton,1,12,18:23:40,24.682
ocon,1,12,18:23:50,24.966
sargeant,1,12,18:23:55,25.600
zhou,1,12,18:24:01,25.787
leclerc,1,13,18:25:06,24.345
sainz,1,13,18:25:17,24.500
russell,1,13,18:25:24,27.062
max_verstappen,1,14,18:26:35,24.289
alonso,1,14,18:27:02,25.800
stroll,1,15,18:28:45,25.449
kevin_magnussen,1,15,18:29:10,25.439
ocon,2,15,18:29:11,41.462
perez,1,17,18:31:42,24.264
norris,2,17,18:32:38,33.661
gasly,2,25,18:45:48,24.879
albon,2,26,18:47:25,24.920
tsunoda,2,26,18:47:26,24.372
hulkenberg,2,26,18:47:41,37.769
de_vries,2,27,18:49:16,25.234
norris,3,27,18:49:35,33.467
bottas,2,29,18:52:16,25.643
kevin_magnussen,2,29,18:52:40,25.344
hamilton,2,30,18:53:36,24.690
piastri,1,1,20:05:36,31.534
norris,1,2,20:07:18,29.444
kevin_magnussen,1,8,20:16:55,20.870
bottas,1,9,20:18:38,21.505
zhou,1,11,20:21:41,21.703
hulkenberg,1,11,20:21:43,21.567
stroll,1,13,20:24:39,21.150
gasly,1,14,20:26:26,20.719
sainz,1,15,20:27:49,20.760
leclerc,1,16,20:29:29,20.026
ocon,1,16,20:29:34,20.762
tsunoda,1,17,20:31:24,21.414
albon,1,17,20:31:32,21.397
de_vries,1,17,20:31:39,21.116
bottas,2,17,20:32:08,22.191
perez,1,18,20:32:46,20.715
alonso,1,18,20:32:54,26.879
russell,1,18,20:33:05,20.828
max_verstappen,1,18,20:33:15,20.824
hamilton,1,18,20:33:24,21.102
sargeant,1,18,20:33:55,21.064
zhou,2,18,20:34:06,21.282
norris,2,19,20:36:25,21.352
bottas,3,35,21:02:57,21.808
ocon,1,1,15:05:04,18.056
zhou,1,1,15:05:11,18.951
sargeant,1,1,15:05:13,18.382
perez,1,1,15:05:15,17.657
bottas,1,1,15:05:16,21.659
sargeant,2,2,15:07:25,19.158
perez,2,2,15:07:26,17.814
russell,1,7,15:15:01,19.146
sainz,1,7,15:15:05,18.319
kevin_magnussen,1,7,15:15:21,20.789
hamilton,1,8,15:17:43,15:25.181
max_verstappen,1,8,15:17:45,15:25.112
alonso,1,8,15:17:48,15:26.940
stroll,1,8,15:17:51,15:27.222
gasly,1,8,15:17:53,15:26.996
hulkenberg,1,8,15:17:55,15:26.326
russell,2,8,15:17:59,15:30.824
tsunoda,1,8,15:18:02,15:31.820
norris,1,8,15:18:04,15:34.763
piastri,1,8,15:18:06,15:34.541
sainz,2,8,15:18:08,15:37.024
de_vries,1,8,15:18:11,15:37.874
ocon,2,8,15:18:14,15:37.929
perez,3,8,15:18:16,15:37.512
zhou,2,8,15:18:19,15:37.849
bottas,2,8,15:18:21,15:37.594
sargeant,3,8,15:18:23,15:38.017
kevin_magnussen,2,8,15:18:27,15:40.228
sargeant,4,36,16:15:29,19.018
de_vries,2,45,16:28:14,18.080
gasly,1,5,15:13:22,20.235
bottas,1,6,15:15:14,20.967
albon,1,7,15:16:57,21.103
tsunoda,1,8,15:18:43,20.497
piastri,1,8,15:18:44,20.902
sargeant,1,8,15:18:50,21.015
hamilton,1,9,15:20:23,20.324
norris,1,9,15:20:27,20.346
max_verstappen,1,10,15:22:00,20.707
kevin_magnussen,1,10,15:22:35,30.951
perez,1,11,15:24:20,20.389
leclerc,1,11,15:24:25,21.126
sainz,1,11,15:24:33,21.970
alonso,1,11,15:24:35,23.148
russell,1,11,15:24:42,20.459
stroll,1,11,15:24:42,23.161
zhou,1,11,15:25:01,22.247
bottas,2,12,15:27:47,22.354
gasly,2,23,15:48:15,21.169
bottas,3,34,16:08:14,21.012
russell,2,49,16:34:10,21.389
hulkenberg,1,49,16:34:47,24.748
ocon,1,50,16:36:20,20.367
sargeant,1,2,15:37:09,48.938
norris,1,4,15:40:18,24.090
piastri,1,5,15:41:49,22.205
kevin_magnussen,1,14,15:55:45,22.616
gasly,1,15,15:57:16,22.417
bottas,1,15,15:57:23,23.158
de_vries,1,15,15:57:33,23.487
russell,1,17,16:00:18,22.335
leclerc,1,17,16:00:25,22.068
sainz,1,18,16:01:46,22.278
perez,1,20,16:04:48,21.884
albon,1,22,16:08:22,22.482
alonso,1,24,16:11:02,22.631
zhou,1,31,16:22:27,22.796
hulkenberg,1,33,16:25:26,23.120
tsunoda,1,36,16:30:01,22.390
hamilton,1,37,16:31:29,22.150
ocon,1,39,16:34:33,21.942
stroll,1,42,16:39:18,22.651
