Round,Driver Id,Driver First Name,Driver Last Name,Constructor Name,Position,Q1 Time,Q2 Time,Q3 Time
1,michael_schumacher,Michael,Schumacher,Ferrari,1,1:27.173,,
1,barrichello,Rubens,Barrichello,Ferrari,2,1:27.418,,
1,montoya,Juan,Pablo Montoya,Williams,3,1:28.101,,
1,frentzen,Heinz-Harald,Frentzen,Sauber,4,1:28.274,,
1,panis,Olivier,Panis,Toyota,5,1:28.288,,
1,villeneuve,Jacques,Villeneuve,BAR,6,1:28.420,,
1,heidfeld,Nick,Heidfeld,Sauber,7,1:28.464,,
1,button,Jenson,Button,BAR,8,1:28.682,,
1,ralf_schumacher,Ralf,Schumacher,Williams,9,1:28.830,,
1,alonso,Fernando,Alonso,Renault,10,1:28.928,,
1,coulthard,David,Coulthard,McLaren,11,1:29.105,,
1,trulli,Jarno,Trulli,Renault,12,1:29.136,,
1,fisichella,Giancarlo,Fisichella,Jordan,13,1:29.344,,
1,webber,Mark,Webber,Jaguar,14,1:29.367,,
1,raikkonen,Kimi,Räikkönen,McLaren,15,1:29.470,,
1,matta,Cristiano,da Matta,Toyota,16,1:29.538,,
1,firman,Ralph,Firman,Jordan,17,1:31.242,,
1,pizzonia,Antônio,Pizzonia,Jaguar,18,1:31.723,,
1,wilson,Justin,Wilson,Minardi,19,,,
1,verstappen,Jos,Verstappen,Minardi,20,,,
2,alonso,Fernando,Alonso,Renault,1,1:37.044,,
2,trulli,Jarno,Trulli,Renault,2,1:37.217,,
2,michael_schumacher,Michael,Schumacher,Ferrari,3,1:37.393,,
2,coulthard,David,Coulthard,McLaren,4,1:37.454,,
2,barrichello,Rubens,Barrichello,Ferrari,5,1:37.579,,
2,heidfeld,Nick,Heidfeld,Sauber,6,1:37.766,,
2,raikkonen,Kimi,Räikkönen,McLaren,7,1:37.858,,
2,montoya,Juan,Pablo Montoya,Williams,8,1:37.974,,
2,button,Jenson,Button,BAR,9,1:38.073,,
