Race ID,Position,Last Name,First Name,Constructor,Points,Fastest Lap Time,Fastest Lap Avg Speed (kph),Status,Driver Code,Driver ID
1,1,Vettel,Sebastian,Ferrari,25,1:26.469,220.782,Finished,VET,vettel
1,2,Hamilton,Lewis,Mercedes,18,1:26.444,220.845,Finished,HAM,hamilton
1,3,Räikkönen,Kimi,Ferrari,15,1:26.373,221.027,Finished,RAI,raikkonen
1,4,Ricciardo,Daniel,Red Bull,12,1:25.945,222.128,Finished,RIC,ricciardo
1,5,Alonso,Fernando,McLaren,10,1:26.978,219.489,Finished,ALO,alonso
1,6,Verstappen,Max,Red Bull,8,1:26.880,219.737,Finished,VER,max_verstappen
1,7,Hülkenberg,Nico,Renault,6,1:27.081,219.230,Finished,HUL,hulkenberg
1,8,Bottas,Valtteri,Mercedes,4,1:27.019,219.386,Finished,BOT,bottas
1,9,Vandoorne,Stoffel,McLaren,2,1:26.958,219.540,Finished,VAN,vandoorne
1,10,Sainz,Carlos,Renault,1,1:27.944,217.079,Finished,SAI,sainz
1,11,Pérez,Sergio,Force India,0,1:27.633,217.849,Finished,PER,perez
1,12,Ocon,Esteban,Force India,0,1:27.600,217.931,Finished,OCO,ocon
1,13,Leclerc,Charles,Sauber,0,1:28.759,215.085,Finished,LEC,leclerc
1,14,Stroll,Lance,Williams,0,1:28.511,215.688,Finished,STR,stroll
1,15,Hartley,Brendon,Toro Rosso,0,1:28.176,216.507,+1 Lap,HAR,brendon_hartley
1,16,Grosjean,Romain,Haas F1 Team,0,1:28.805,214.974,Wheel,GRO,grosjean
1,17,Magnussen,Kevin,Haas F1 Team,0,1:29.534,213.224,Wheel,MAG,kevin_magnussen
1,18,Gasly,Pierre,Toro Rosso,0,1:30.649,210.601,Engine,GAS,gasly
1,19,Ericsson,Marcus,Sauber,0,1:32.210,207.036,Steering,ERI,ericsson
1,20,Sirotkin,Sergey,Williams,0,1:32.573,206.224,Brakes,SIR,sirotkin
2,1,Vettel,Sebastian,Ferrari,25,1:34.453,206.274,Finished,VET,vettel
2,2,Bottas,Valtteri,Mercedes,18,1:33.740,207.842,Finished,BOT,bottas
2,3,Hamilton,Lewis,Mercedes,15,1:33.953,207.371,Finished,HAM,hamilton
2,4,Gasly,Pierre,Toro Rosso,12,1:34.863,205.382,Finished,GAS,gasly
2,5,Magnussen,Kevin,Haas F1 Team,10,1:34.327,206.549,Finished,MAG,kevin_magnussen
2,6,Hülkenberg,Nico,Renault,8,1:34.667,205.807,Finished,HUL,hulkenberg
2,7,Alonso,Fernando,McLaren,6,1:34.168,206.898,+1 Lap,ALO,alonso
2,8,Vandoorne,Stoffel,McLaren,4,1:35.131,204.803,+1 Lap,VAN,vandoorne
2,9,Ericsson,Marcus,Sauber,2,1:35.093,204.885,+1 Lap,ERI,ericsson
2,10,Ocon,Esteban,Force India,1,1:35.043,204.993,+1 Lap,OCO,ocon
2,11,Sainz,Carlos,Renault,0,1:35.535,203.937,+1 Lap,SAI,sainz
2,12,Leclerc,Charles,Sauber,0,1:35.075,204.924,+1 Lap,LEC,leclerc
2,13,Grosjean,Romain,Haas F1 Team,0,1:34.689,205.759,+1 Lap,GRO,grosjean
2,14,Stroll,Lance,Williams,0,1:35.058,204.961,+1 Lap,STR,stroll
2,15,Sirotkin,Sergey,Williams,0,1:34.053,207.151,+1 Lap,SIR,sirotkin
2,16,Pérez,Sergio,Force India,0,1:35.266,204.513,+1 Lap,PER,perez
2,17,Hartley,Brendon,Toro Rosso,0,1:34.563,206.034,+1 Lap,HAR,brendon_hartley
2,18,Räikkönen,Kimi,Ferrari,0,1:34.337,206.527,Wheel,RAI,raikkonen
2,19,Verstappen,Max,Red Bull,0,,,Puncture,VER,max_verstappen
2,20,Ricciardo,Daniel,Red Bull,0,,,Electrical,RIC,ricciardo
3,1,Ricciardo,Daniel,Red Bull,25,1:35.785,204.871,Finished,RIC,ricciardo
3,2,Bottas,Valtteri,Mercedes,18,1:36.987,202.332,Finished,BOT,bottas
3,3,Räikkönen,Kimi,Ferrari,15,1:36.456,203.446,Finished,RAI,raikkonen
3,4,Hamilton,Lewis,Mercedes,12,1:36.878,202.559,Finished,HAM,hamilton
3,5,Verstappen,Max,Red Bull,10,1:36.206,203.974,Finished,VER,max_verstappen
3,6,Hülkenberg,Nico,Renault,8,1:36.881,202.553,Finished,HUL,hulkenberg
