Race ID,Position,Last Name,First Name,Constructor,Points,Fastest Lap Time,Fastest Lap Avg Speed (kph)
1,1,Bottas,Valtteri,Mercedes,26,1:25.580,223.075
1,2,Hamilton,Lewis,Mercedes,18,1:26.057,221.839
1,3,Verstappen,Max,Red Bull,15,1:26.256,221.327
1,4,Vettel,Sebastian,Ferrari,12,1:27.954,217.054
1,5,Leclerc,Charles,Ferrari,10,1:26.926,219.621
1,6,Magnussen,Kevin,Haas F1 Team,8,1:28.182,216.493
1,7,Hülkenberg,Nico,Renault,6,1:28.444,215.851
1,8,Räikkönen,Kimi,Alfa Romeo,4,1:28.270,216.277
1,9,Stroll,Lance,Racing Point,2,1:27.568,218.011
1,10,Kvyat,Daniil,Toro Rosso,1,1:27.448,218.310
1,11,Gasly,Pierre,Red Bull,0,1:27.229,218.858
1,12,Norris,Lando,McLaren,0,1:28.555,215.581
1,13,Pérez,Sergio,Racing Point,0,1:28.485,215.751
1,14,Albon,Alexander,Toro Rosso,0,1:28.188,216.478
1,15,Giovinazzi,Antonio,Alfa Romeo,0,1:28.479,215.766
1,16,Russell,George,Williams,0,1:28.713,215.197
1,17,Kubica,Robert,Williams,0,1:29.284,213.821
1,18,Grosjean,Romain,Haas F1 Team,0,1:28.462,215.807
1,19,Ricciardo,Daniel,Renault,0,1:29.848,212.478
1,20,Sainz,Carlos,McLaren,0,1:30.899,210.022
2,1,Hamilton,Lewis,Mercedes,25,1:33.528,208.314
2,2,Bottas,Valtteri,Mercedes,18,1:34.209,206.808
2,3,Leclerc,Charles,Ferrari,16,1:33.411,208.575
2,4,Verstappen,Max,Red Bull,12,1:35.311,204.417
2,5,Vettel,Sebastian,Ferrari,10,1:34.895,205.313
2,6,Norris,Lando,McLaren,8,1:35.777,203.422
2,7,Räikkönen,Kimi,Alfa Romeo,6,1:35.589,203.822
2,8,Gasly,Pierre,Red Bull,4,1:35.291,204.460
2,9,Albon,Alexander,Toro Rosso,2,1:36.752,201.372
2,10,Pérez,Sergio,Racing Point,1,1:36.330,202.254
2,11,Giovinazzi,Antonio,Alfa Romeo,0,1:35.237,204.575
2,12,Kvyat,Daniil,Toro Rosso,0,1:34.934,205.228
2,13,Magnussen,Kevin,Haas F1 Team,0,1:35.892,203.178
2,14,Stroll,Lance,Racing Point,0,1:37.037,200.781
2,15,Russell,George,Williams,0,1:37.313,200.211
2,16,Kubica,Robert,Williams,0,1:37.903,199.005
2,17,Hülkenberg,Nico,Renault,0,1:35.215,204.623
2,18,Ricciardo,Daniel,Renault,0,1:36.697,201.487
2,19,Sainz,Carlos,McLaren,0,1:35.586,203.829
2,20,Grosjean,Romain,Haas F1 Team,0,1:37.262,200.316
3,1,Hamilton,Lewis,Mercedes,25,1:35.892,204.642
3,2,Bottas,Valtteri,Mercedes,18,1:34.872,206.842
3,3,Vettel,Sebastian,Ferrari,15,1:34.836,206.921
3,4,Verstappen,Max,Red Bull,12,1:36.143,204.108
3,5,Leclerc,Charles,Ferrari,10,1:34.860,206.869
3,6,Gasly,Pierre,Red Bull,9,1:34.742,207.126
3,7,Ricciardo,Daniel,Renault,6,1:38.632,198.957
3,8,Pérez,Sergio,Racing Point,4,1:38.702,198.816
