Race ID,Year,Position,Driver ID,Last Name,First Name,Constructor,Constructor ID,Points,Status,Fastest Lap Time,Fastest Lap Avg Speed (kph),Total Points,Wins,Total Wins
1,2020,1,bottas,Bottas,Valtteri,Mercedes,mercedes,25,Finished,1:07.657,229.758,2030.0,1,11.0
1,2020,2,leclerc,Leclerc,Charles,Ferrari,ferrari,18,Finished,1:07.901,228.933,321.0,0,2.0
1,2020,3,norris,Norris,Lando,McLaren,mclaren,16,Finished,1:07.475,230.378,65.0,0,0.0
1,2020,4,hamilton,Hamilton,Lewis,Mercedes,mercedes,12,Finished,1:07.712,229.572,6053.0,0,146.0
1,2020,5,sainz,Sainz,Carlos,McLaren,mclaren,10,Finished,1:07.974,228.687,395.0,0,0.0
1,2020,6,perez,Pérez,Sergio,Racing Point,racing_point,8,Finished,1:08.305,227.579,1056.0,0,0.0
1,2020,7,gasly,Gasly,Pierre,AlphaTauri,alphatauri,6,Finished,1:09.025,225.205,130.0,0,0.0
1,2020,8,ocon,Ocon,Esteban,Renault,renault,4,Finished,1:08.932,225.509,227.0,0,0.0
1,2020,9,giovinazzi,Giovinazzi,Antonio,Alfa Romeo,alfa,2,Finished,1:08.796,225.954,16.0,0,0.0
1,2020,10,vettel,Vettel,Sebastian,Ferrari,ferrari,1,Finished,1:08.623,226.524,5411.0,0,100.0
1,2020,11,latifi,Latifi,Nicholas,Williams,williams,0,Finished,1:09.662,223.146,0.0,0,0.0
1,2020,12,kvyat,Kvyat,Daniil,AlphaTauri,alphatauri,0,Suspension,1:09.135,224.847,303.0,0,0.0
1,2020,13,albon,Albon,Alexander,Red Bull,red_bull,0,Electronics,1:08.432,227.156,92.0,0,0.0
1,2020,14,raikkonen,Räikkönen,Kimi,Alfa Romeo,alfa,0,Wheel,1:09.031,225.185,3424.0,0,41.0
1,2020,15,russell,Russell,George,Williams,williams,0,Fuel pressure,1:09.317,224.256,0.0,0,0.0
1,2020,16,grosjean,Grosjean,Romain,Haas F1 Team,haas,0,Brakes,1:10.228,221.347,733.0,0,0.0
1,2020,17,kevin_magnussen,Magnussen,Kevin,Haas F1 Team,haas,0,Brakes,1:10.720,219.807,238.0,0,0.0
1,2020,18,stroll,Stroll,Lance,Racing Point,racing_point,0,Engine,1:10.326,221.039,107.0,0,0.0
1,2020,19,ricciardo,Ricciardo,Daniel,Renault,renault,0,Overheating,1:10.610,220.150,1856.0,0,12.0
1,2020,20,max_verstappen,Verstappen,Max,Red Bull,red_bull,0,Electronics,1:09.351,224.146,1369.0,0,11.0
2,2020,1,hamilton,Hamilton,Lewis,Mercedes,mercedes,25,Finished,1:06.719,232.989,6078.0,1,147.0
2,2020,2,bottas,Bottas,Valtteri,Mercedes,mercedes,18,Finished,1:07.534,230.177,2048.0,0,11.0
2,2020,3,max_verstappen,Verstappen,Max,Red Bull,red_bull,15,Finished,1:06.145,235.010,1384.0,0,11.0
2,2020,4,albon,Albon,Alexander,Red Bull,red_bull,12,Finished,1:07.299,230.981,104.0,0,0.0
2,2020,5,norris,Norris,Lando,McLaren,mclaren,10,Finished,1:07.193,231.345,75.0,0,0.0
2,2020,6,perez,Pérez,Sergio,Racing Point,racing_point,8,Finished,1:07.188,231.362,1064.0,0,0.0
2,2020,7,stroll,Stroll,Lance,Racing Point,racing_point,6,Finished,1:07.833,229.162,113.0,0,0.0
