Round,Race Name,Circuit Name,Locality,Country,Date,Time
1,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,2021-03-28,15:00:00Z
2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,2021-04-18,13:00:00Z
3,Portuguese Grand Prix,Autódromo Internacional do Algarve,Portimão,Portugal,2021-05-02,14:00:00Z
4,Spanish Grand Prix,Circuit de Barcelona-Catalunya,Montmeló,Spain,2021-05-09,13:00:00Z
5,Monaco Grand Prix,Circuit de Monaco,Monte-Carlo,Monaco,2021-05-23,13:00:00Z
6,Azerbaijan Grand Prix,Baku City Circuit,Baku,Azerbaijan,2021-06-06,12:00:00Z
7,French Grand Prix,Circuit Paul Ricard,Le Castellet,France,2021-06-20,13:00:00Z
8,Styrian Grand Prix,Red Bull Ring,Spielberg,Austria,2021-06-27,13:00:00Z
9,Austrian Grand Prix,Red Bull Ring,Spielberg,Austria,2021-07-04,13:00:00Z
10,British Grand Prix,Silverstone Circuit,Silverstone,UK,2021-07-18,14:00:00Z
11,Hungarian Grand Prix,Hungaroring,Budapest,Hungary,2021-08-01,13:00:00Z
12,Belgian Grand Prix,Circuit de Spa-Francorchamps,Spa,Belgium,2021-08-29,13:00:00Z
13,Dutch Grand Prix,Circuit Park Zandvoort,Zandvoort,Netherlands,2021-09-05,13:00:00Z
14,Italian Grand Prix,Autodromo Nazionale di Monza,Monza,Italy,2021-09-12,13:00:00Z
15,Russian Grand Prix,Sochi Autodrom,Sochi,Russia,2021-09-26,12:00:00Z
16,Turkish Grand Prix,Istanbul Park,Istanbul,Turkey,2021-10-10,12:00:00Z
17,United States Grand Prix,Circuit of the Americas,Austin,USA,2021-10-24,19:00:00Z
18,Mexico City Grand Prix,Autódromo Hermanos Rodríguez,Mexico City,Mexico,2021-11-07,19:00:00Z
19,São Paulo Grand Prix,Autódromo José Carlos Pace,São Paulo,Brazil,2021-11-14,17:00:00Z
20,Qatar Grand Prix,Losail International Circuit,Al Daayen,Qatar,2021-11-21,14:00:00Z
21,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,2021-12-05,17:30:00Z
22,Abu Dhabi Grand Prix,Yas Marina Circuit,Abu Dhabi,UAE,2021-12-12,13:00:00Z
